Player,Rnd,Pick,Tm,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
Dylan Horton,4,109,HOU,DL,23,2023,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,8,,,TCU,College Stats,HortDy00
Adetomiwa Adebawore,4,110,IND,DL,22,2023,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,4,,1.5,Northwestern,College Stats,AdebAd00
Dawand Jones,4,111,CLE,OL,22,2023,0,0,0,4,4,11,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,JoneDa07
Chad Ryland,4,112,NWE,K,23,2023,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,,,,Maryland,College Stats,RylaCh00
Clark Phillips,4,113,ATL,CB,21,2023,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,22,,,Utah,College Stats,PhilCl00
Chandler Zavala,4,114,CAR,G,24,2023,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina St.,College Stats,ZavaCh00
Roschon Johnson,4,115,CHI,RB,22,2023,0,0,0,4,4,15,0,0,0,0,0,81,352,2,34,209,0,,,,Texas,College Stats,JohnRo07
Colby Wooden,4,116,GNB,DE,22,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,10,,0.5,Auburn,College Stats,WoodCo01
Sidy Sow,4,117,NWE,OL,25,2023,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,,,,Eastern Michigan,College Stats,SowxSi00
Braeden Daniels,4,118,WAS,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Utah,College Stats,DaniBr00
Chamarri Conner,4,119,KAN,DB,23,2023,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,31,1,,Virginia Tech,College Stats,ConnCh01
Carter Warren,4,120,NYJ,OL,24,2023,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,,,,Pittsburgh,College Stats,WarrCa00
Ventrell Miller,4,121,JAX,LB,24,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats,MillVe00
Jon Gaines,4,122,ARI,OL,24,,0,0,0,,,,,,,,,,,,,,,,,,UCLA,College Stats,GainJo00
Cameron Young,4,123,SEA,DT,23,2023,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,10,,,Mississippi St.,College Stats,YounCa00
Tavius Robinson,4,124,BAL,DE,24,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,13,,1,Mississippi,College Stats,RobiTa00
Derius Davis,4,125,LAC,WR,22,2023,0,0,0,2,2,17,0,0,0,0,0,14,101,0,15,66,0,,,,TCU,College Stats,DaviDe02
Isaiah McGuire,4,126,CLE,DL,22,2023,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,5,,1,Missouri,College Stats,McGuIs00
Jake Haener,4,127,NOR,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Fresno St.,College Stats,HaenJa00
Stetson Bennett,4,128,LAR,QB,25,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,BennSt00
Viliami Fehoko,4,129,DAL,DL,23,,0,0,0,,,,,,,,,,,,,,,,,,San Jose St.,College Stats,FehoVi00
Tyler Lacy,4,130,JAX,DE,23,2023,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,5,,,Oklahoma St.,College Stats,LacyTy00
Charlie Jones,4,131,CIN,WR,24,2023,0,0,0,2,2,11,0,0,0,0,0,2,13,0,7,64,0,,,,Purdue,College Stats,JoneCh11
Nick Herbig,4,132,PIT,OLB,21,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,19,,3,Wisconsin,College Stats,HerbNi00
Tyler Scott,4,133,CHI,WR,21,2023,0,0,0,2,2,17,0,0,0,0,0,7,41,0,17,168,0,,,,Cincinnati,College Stats,ScotTy00
Jay Ward,4,134,MIN,S,23,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,5,,,LSU,College Stats,WardJa00
Aidan O'Connell,4,135,LVR,QB,25,2023,0,0,0,6,6,11,213,343,2218,12,7,17,11,1,0,0,0,,,,Purdue,College Stats,OConAi00
Yasir Abdullah,5,136,JAX,LB,23,2023,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,,Louisville,College Stats,AbduYa00
K.J. Henry,5,137,WAS,DE,24,2023,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,14,,1.5,Clemson,College Stats,HenrKJ00
Darius Rush,5,138,IND,DB,23,2023,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,2,,,South Carolina,College Stats,RushDa00
Clayton Tune,5,139,ARI,QB,24,2023,0,0,0,0,0,7,12,21,62,0,2,8,30,1,0,0,0,,,,Houston,College Stats,TuneCl00
Dorian Thompson-Robinson,5,140,CLE,QB,23,2023,0,0,0,1,1,8,60,112,440,1,4,14,65,0,0,0,0,,,,UCLA,College Stats,ThomDo02
Jaquelin Roy,5,141,MIN,DT,22,2023,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,3,,,LSU,College Stats,RoyxJa00
Cameron Mitchell,5,142,CLE,DB,21,2023,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,16,,1,Northwestern,College Stats,MitcCa01
Israel Abanikanda,5,143,NYJ,RB,20,2023,0,0,0,1,1,6,0,0,0,0,0,22,70,0,7,43,0,,,,Pittsburgh,College Stats,AbanIs00
Atonio Mafi,5,144,NWE,OL,22,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,College Stats,MafiAt00
Jammie Robinson,5,145,CAR,DB,22,2023,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,11,,,Florida St.,College Stats,RobiJa03
Jordan Howden,5,146,NOR,DB,23,2023,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,23,,1,Minnesota,College Stats,HowdJo00
Josh Whyle,5,147,TEN,TE,23,2023,0,0,0,1,1,11,0,0,0,0,0,0,0,0,9,94,1,1,,,Cincinnati,College Stats,WhylJo01
Noah Sewell,5,148,CHI,LB,22,2023,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,4,,,Oregon,College Stats,SeweNo00
Sean Clifford,5,149,GNB,QB,25,2023,0,0,0,0,0,2,1,1,37,0,0,3,-2,0,0,0,0,,,,Penn St.,College Stats,ClifSe00
Justin Shorter,5,150,BUF,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats,ShorJu00
Mike Morris,5,151,SEA,DE,22,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,,Michigan,College Stats,MorrMi00
Colby Sorsdal,5,152,DET,OL,23,2023,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,,,,William & Mary,,SorsCo00
SirVocea Dennis,5,153,TAM,LB,23,2023,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,11,,,Pittsburgh,College Stats,DennSi00
Olusegun Oluwatimi,5,154,SEA,C,24,2023,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats,OluwOl00
Darrell Luter,5,155,SFO,CB,23,2023,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,,,South Alabama,College Stats,LuteDa00
Jordan McFadden,5,156,LAC,OL,23,2023,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson,College Stats,McFaJo00
Kyu Blu Kelly,5,157,BAL,CB,22,2023,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,5,,,Stanford,College Stats,BluxKy00
Daniel Scott,5,158,IND,S,24,,0,0,0,,,,,,,,,,,,,,,,,,California,College Stats,ScotDa03
Dontayvion Wicks,5,159,GNB,WR,22,2023,0,0,0,6,6,15,1,1,14,0,0,1,1,0,39,581,4,,,,Virginia,College Stats,WickDo00
Antonio Johnson,5,160,JAX,DB,21,2023,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,13,2,1,Texas A&M,College Stats,JohnAn07
Nick Hampton,5,161,LAR,OLB,23,2023,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,2,,,Appalachian St.,College Stats,HampNi00
